username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Madeline Goodwin,1279296074,"Seattle, WA",2013-03-19 02:05:56,"Hey @POTUS , what are you doing about grocery store prices? Cream of Wheat has always been $2-3. Now it's on sale f… https://t.co/0sjVub4h0q",0,Twitter for Android,
pinar,60942242,"seattle, wa",2009-07-28 16:04:53,@taestinytoes ahh honestly my friends and family have helped a lot. I don't know if you are collecting unemployment… https://t.co/2ZIN1ePiu9,0,Twitter Web App,
Chris,320068611,Seattle,2011-06-19 07:26:57,@SheepvWolf @mikeroweworks @CBSNews The unemployment rate doesn't count people not looking for work because they're… https://t.co/3EUrZmX6R9,0,Twitter Web App,
Dr. Maude,1308142705151807497,"Seattle, WA",2020-09-21 20:35:08,@Terrysagirl @MeidasTouch Lowest unemployment for jobs that pay pretty much nothing.,0,Twitter for iPhone,
SonnyinSeattle,16656505,"Seattle, WA",2008-10-08 21:17:13,"Biden-Harris rescued America. 
❇️ Unemployment is down. 
❇️ The GDP is back on trend. 
❇️ Biggest investment in gre… https://t.co/BPqpDaQipo",5,Twitter for iPhone,
Satyros Brucato @SatyrB@mastodon.social,832452098910351362,"Seattle, WA",2017-02-17 04:50:21,"@Gismoove ""CRT"" and ""groomer"" are the current political season's answer to ""bathroom bills"" - a diversion cooked up… https://t.co/OwAOHbt14q",0,Twitter Web App,
Fuse Washington,23519653,"Seattle, WA",2009-03-09 23:01:49,Testimony is now over on #SB5109 to create a wage replacement program for undocumented residents of WA who pay taxe… https://t.co/QISPypyzJF,0,Twitter Web App,
Fuse Washington,23519653,"Seattle, WA",2009-03-09 23:01:49,Gloria Medina has worked and paid taxes in WA for 29 years. She was laid off after Thanksgiving with no unemploymen… https://t.co/leQ7TEA0GP,0,Twitter Web App,
JC Beck (she/her),1514995993,"Seattle, WA",2013-06-14 01:44:44,@JustinWolfers @chrislhayes Decrease in unemployment could be temporary as most tech layoffs have severance and you… https://t.co/7kIliBsg08,0,Twitter for Android,
Steve McCarron KOMO,484237843,"Seattle, WA",2012-02-05 21:53:09,"NEW THIS MORNING: The U.S. Labor Department reports 186,000 new unemployment claims were filed last week - that's a… https://t.co/IykBgITkV3",1,Twitter Web App,
Rep. Pramila Jayapal,815733290955112448,"Seattle, WA",2017-01-02 01:35:46,"Thanks to major policies enacted by Democrats in Congress and @POTUS, the economy is strong and unemployment is at… https://t.co/gSe3GATvf7",111,TweetDeck,
Cedarflame,19866972,"Seattle, WA ",2009-02-01 17:26:44,@then_maude @TeamPelosi 1.5% unemployment,0,Twitter Web App,
Clarissa,1613040266260385793,"Seattle, WA",2023-01-11 05:09:36,@CO_Redneck @7Veritas4 @laurenboebert Are you counting children in this number because I am pretty sure we don’t ha… https://t.co/5fjWyPmdhV,0,Twitter for iPhone,
DannyBoy,1639427293,"Seattle, WA",2013-08-02 02:42:09,@SenBooker If someone actually wrote this for you to read in public then I hope their unemployment lasts forever as… https://t.co/8LwHYvcEDM,0,Twitter Web App,
Czechmate 🇺🇸🇺🇦🇨🇿🇸🇪,21709908,,2009-02-24 00:00:46,"Ha ha ha ha!
-14.6% unemployment reached under Trumpf
-30% tax on everything YOU buy, so rich don’t have to pay tax… https://t.co/oAWeoJz4d4",0,Twitter for iPhone,
(っ◔◡◔)っyourfrendgus,13639742,"Seattle, WA",2008-02-18 20:16:43,This is your heart on 3 weeks of unemployment. https://t.co/dMLcGIjv0g,0,Twitter for iPhone,
StarLeagueDeathBlossom,1523321586027139073,"Seattle, WA",2022-05-08 15:20:58,"@POTUS Please provide the ""real unemployment numbers"". Including those that are ineligible for benefits and not actively looking.",0,Twitter for Android,
ActiveRain,54232387,"Seattle, WA",2009-07-06 15:21:06,"Why higher unemployment is a good thing

https://t.co/QHOxYZYWVA

By Khash Saghafi NMLS https://t.co/thWv5daiUM",0,Hootsuite Inc.,
Always Right,4203166694,"Seattle, WA",2015-11-11 16:34:42,@POTUS It’s almost as if we’ve drastically changed how we assess unemployment numbers.,0,Twitter for iPhone,
Captain Dave,197296092,Seattle,2010-10-01 03:34:55,"@POTUS What a fraud. When unemployment benefits run out, it doesn't mean people went back to work. Those who are wo… https://t.co/qQYPdfQPxL",0,Twitter Web App,
