username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Redwolf,950070631374213121,New York,2018-01-07 18:24:24,@TheRealCB20 @POTUS unemployment is down becus those unemployed are not collecting unemployment insurance,0,Twitter Web App,
Youssouf Fofana,4648883783,"Upper East Side, Manhattan",2015-12-30 01:38:35,Hello there folks there's some trouble maker living in this place 57-18 Xenia street queens on 2 floors I don't kno… https://t.co/wpX7xgL4b3,0,Twitter for iPhone,
cutie patootie,1422185868,nyc,2013-05-12 04:14:36,unemployment means it's real adam curtis hours,0,Twitter for iPhone,
Sean,1208219510819438592,"New york, NY",2019-12-21 02:56:01,"@SteveMiran Yup exactly they are trying very hard to avoid a recession, and that’s why they are now raising rates b… https://t.co/8FmEYh3O83",0,Twitter for iPhone,
Stephen Miran,971518117041106944,New York,2018-03-07 22:49:03,"This but unironically?
There's new information since 3600
The Fed seems to have sacrificed its inflation target and… https://t.co/xjkKfCX9Xa",1,Twitter Web App,
Steve Tourloukis,1262311735,"New York, NY",2013-03-12 16:03:48,@RepAndyBiggsAZ Highest unemployment rate in 50 years Thank you Biden.   Fastest Job growth rate by a President fro… https://t.co/APi5LYSoSe,1,Twitter for iPhone,
MichelRenard,1255659719840223234,New York,2020-04-30 00:46:35,Germany’s industrial production dropped 1.9% in #November from the previous month. And now consider this: economist… https://t.co/AaELxOyqZ6,0,PoliTweetBot,
Dr. B,1609693384649621505,NYC,2023-01-01 23:30:02,"@JoJoFromJerz 11.2 million jobs added under Biden in 2 years
Trump lost a net 3 million in 4 years
PPI down 0.5% in… https://t.co/ADNegHudb5",0,Twitter Web App,
Cristina,26153407,"Manhattan, NY",2009-03-24 02:12:08,@randydu55280024 @WHCOS I work in finance…so I might have some insight into what is going on right now. You might w… https://t.co/sJFqdRYXng,0,Twitter for iPhone,
NBC Nightly News with Lester Holt,8839632,New York,2007-09-12 19:19:22,"The GDP rate went up 2.9% in the fourth quarter of 2022 and unemployment remained at a 50-year low.

However, the F… https://t.co/SlOXV2Sx63",2,SocialFlow,
Ellen,1383554917193830405,"New York, USA",2021-04-17 22:56:29,@Jim_Jordan Unemployment is 3.5%,0,Twitter for iPhone,
Zev Chevat,442335437,New York City,2011-12-21 00:57:52,"are your waiters model handsome, like mine was? YOU could be entitled to financial compensation! (collecting unempl… https://t.co/uRxZECEVwE",0,Twitter for iPhone,
Ellen,1383554917193830405,"New York, USA",2021-04-17 22:56:29,"@RepBoebert You campaigned to ease inflation, reduce prices, unblock supply chains, bring jobs back, reduce unemplo… https://t.co/dqNA5SfnRz",0,Twitter for iPhone,
The Epoch Times,29097819,"New York, USA",2009-04-05 23:54:55,"US unemployment filings dropped last week, while the labor market remains tight and #Inflation pressures continue t… https://t.co/DQDm25vzLq",2,Twitter Web App,
ℓα gαяgσℓα ☾☆,2938595837,"New York, USA",2014-12-23 18:33:42,I’ve been seeing this at my job more often &amp; usually is because they don’t pay well or boomers. It’s literally my j… https://t.co/lighHgW1dm,0,Twitter for iPhone,
Cristina,26153407,"Manhattan, NY",2009-03-24 02:12:08,@randydu55280024 @WHCOS The “massive” layoffs are happening in the tech sector as they are expecting a recession. O… https://t.co/jNhHo0ET2o,0,Twitter for iPhone,
Rachel Clarke,2530841186,New York,2014-05-28 20:59:36,"@Par2ivalz @JoJoFromJerz To you, it would imply that.  The U.S. economy remains stronger than many of its global co… https://t.co/CSRpv3J6VT",0,Twitter Web App,
BRON,1110210397146103812,New York,2019-03-25 16:02:40,This will have its effect on the Unemployment rate soon.  #unemployment #recession2023 https://t.co/24mSe8lmCg,0,Twitter Web App,
Epicenter-NYC,1278089817017004035,"New York, New York",2020-06-30 22:15:40,"La Parada, a day laborer hub in Brooklyn, is the gateway to a first job in a new country. For others, it’s a last r… https://t.co/z7w1Emzybn",0,Buffer,
Roberta Reardon,769185959518867456,"New York, USA",2016-08-26 14:53:18,"We are committed to ensuring all people, especially those in underserved communities, have access to UI benefits.… https://t.co/aAJqvXYQL4",1,Twitter Web App,
GERMAEN,2527276216,,2014-05-04 05:59:02,Yesterday i told oomf “damn i havent tweeted all day” and she said “unemployment will have u thinking about shit like that”,0,Twitter for iPhone,
Billionaireclubcollc.com,980467278385958912,"New York, USA",2018-04-01 15:29:50,Unemployment Filings Drop in Fresh Sign of Tight Labor Market and Persistent Inflation Pressures… https://t.co/h9hSQdrKFx,0,Twitter Web App,
sfoley1,17468249,"New York, USA",2008-11-18 18:59:36,"@Jim_Jordan Lowest unemployment rate in 50+ years. 2.7% economic growth in December, most jobs created in history.… https://t.co/Zq9hR0rhiO",0,Twitter for Android,
House MAGA=Morons Are Governing Again,17815602,New York City,2008-12-02 19:17:31,"@Jim_Jordan Tons of large/small businesses closed -- many permanently.  
Tens of thousands of jobs lost. 
Unemploym… https://t.co/9QLV2kjF4J",2,Twitter Web App,
sfoley1,17468249,"New York, USA",2008-11-18 18:59:36,@GOP The Biden admin is accountable for the 2.7% economic growth in December. They are accountable for the reductio… https://t.co/yRRzztNNwz,0,Twitter for Android,
Nycryptopheen.eth ᵍᵐ💎,1441861419658461184,"New York, USA",2021-09-25 20:26:35,@POTUS This is such BS and sugar coated stats. People maxxed their unemployment benefits out.  Fact is people are w… https://t.co/dqvGubR1ZF,0,Twitter Web App,
Cindy,2773522715,New York,2014-09-17 14:21:21,"Economists are predicting a slowdown in labor market activity in the U.S. in 2023 due to a likely recession, a cont… https://t.co/gSBV8fbhMv",0,Seismic LiveSocial,
EastRiverCroc,1191380681991053312,"New York, NY",2019-11-04 15:44:35,"@Jim_Jordan Since when does America includes the entire globe?

US GDP growing, wages growing and unemployment at r… https://t.co/zD5OAMwe3N",0,Twitter for iPhone,
Just Have Fun,1201165860007817218,"New York, USA",2019-12-01 15:47:22,"@quadcarl_carl @Jim_Jordan I see signs in places around here. ""Nobody wants to work"".

Local unemployment is 1.9%.… https://t.co/gxDW8INvAW",0,Twitter Web App,
tactical keith,760629860465250304,"New York, USA",2016-08-03 00:14:25,there was a slight uptick in initial unemployment claims and continuing unemployment claims at the end of the year… https://t.co/am4UayyLP0,0,Twitter Web App,
tactical keith,760629860465250304,"New York, USA",2016-08-03 00:14:25,"there's been more optimism about a ""soft landing"" i.e. that inflation will go down and unemployment will not rise.… https://t.co/ZBQdzBAAOa",0,Twitter Web App,
Mrs Mia Wallace,3752272097,"New York, USA",2015-09-23 19:08:36,"@POTUS Any narrative to twist numbers! YOU made everyone stay home and file for unemployment, even gave people an e… https://t.co/cJ2JYmjGEw",0,Twitter for iPhone,
Viper Dante Brandolini,301852265,New York City,2011-05-20 05:23:48,https://t.co/jx48KB6OaK Yo Robert: You have One Final Year to prove you can keep your Job as Head Coach of the NY J… https://t.co/P4yWNZKyTN,0,Twitter Web App,
CaitlinSinclairTV,1179844973509906433,New York ,2019-10-03 19:46:00,"""My fellow New Yorkers, the state of our city is strong!""

-- NYC Mayor Adams as violent crime rages, unemployment… https://t.co/DkYzDNHtdK",58,Twitter Web App,
FOX Business,56413858,"New York, NY",2009-07-13 16:18:27,"Market expert predicts a 7% unemployment rate by the end of 2023: ‘That’s recession’
https://t.co/QtIx2kDV26",11,SocialFlow,
Wall Street Journal Opinion,7228682,New York,2007-07-03 13:39:08,"Government spending and fraud are regular dance partners, but rarely as cheek to cheek as they were with unemployme… https://t.co/6nz9RQmoQs",1,SocialFlow,
TKer,1204857243218382849,NYC,2019-12-11 20:16:06,Making sense of conflicting news on the labor market 🤔 https://t.co/4voNPLtHdR,0,TweetDeck,
Langeloth Foundation,1431329262,New York,2013-05-15 19:38:57,"Homelessness and incarceration are often referred to as a 'revolving door', with formerly incarcerated people's une… https://t.co/y0h3hijhCl",0,Twitter Web App,
Ryan Greenberg,1603285936791502848,"Manhattan, NY",2022-12-15 07:09:02,@atnissly The cyclical businesses exposed to consumers and rising rates are/will get really hit. This cycle is easi… https://t.co/EFEWzmweUy,0,Twitter for iPhone,
Patrick Chovanec,64657863,"New York, NY",2009-08-11 07:50:45,"* Low unemployment rate is partially due to a drop in labor participation rate post-Covid.
* Energy prices have fal… https://t.co/9DvEEPOnSA",0,Twitter Web App,
Knewz,1184120888452628482,New York City,2019-10-15 14:56:58,"The number of unemployed Americans filing for benefits decreased last week, indicating a strong U.S. economy in the… https://t.co/GBfSVyDT2m",0,Hootsuite Inc.,
